Date,Open AAPL,Close AAPL,Volume AAPL,Open MSFT,Close MSFT,Volume MSFT,Open GOOG,Close GOOG,Volume GOOG,Open AMZN,Close AMZN,Volume AMZN,Open NVDA,Close NVDA,Volume NVDA,Open BRKB,Close BRKB,Volume BRKB,Open TSLA,Close TSLA,Volume TSLA,Open META,Close META,Volume META,Open JNJ,Close JNJ,Volume JNJ,Open V,Close V,Volume V,Daily Volume
2022-07-21,154.5,155.350006,65086600,259.790009,264.839996,22404700,100.625,97.18,22624800,123.199997,124.629997,60239900,115.18,118.879997,58077400,287,286.850006,3699000,210.039993,219.350006,79428800,130.300003,134.039993,29612200,165.399994,166.589996,6710800,186,185.25,13952100,361836300
2022-07-22,155.389999,154.089996,66675400,265.23999,260.359985,21881300,99.519997,100.779999,23311600,125.010002,122.419998,51463800,123.440002,119.669998,65936200,288.100006,285.929993,2876100,229.5,220.190002,75891900,137.089996,132.800003,25445000,165,166.009995,10883600,189.49,187.169998,5209200,349574100
2022-07-25,154.009995,152.949997,53623900,261,258.829987,21056000,103.940002,101.389999,21610500,122.699997,121.139999,50221300,118.790001,120.510002,52313100,287.209991,287.98999,3136300,219.800003,222.039993,66571500,132.889999,133.229996,30691000,166,164.690002,10044600,185.49,186.410004,4927000,314195200
2022-07-26,152.259995,151.600006,55138700,259.859985,251.899994,39348000,100.699997,100.290001,21573700,115.790001,114.809998,67075100,121.129997,121.940002,65239800,287.790009,285.309998,2512200,208.279999,207.279999,117798100,132.929993,131.529999,26356300,165,165.110001,5659900,186.46,187.220001,5706700,406408500
2022-07-27,152.580002,156.789993,78620700,261.160004,268.73999,45994000,100.82,100.529999,25125100,117.309998,120.970001,61582000,120.980003,124.660004,60949400,287.670013,290.299988,3613200,206.419998,214.440002,75713800,126.309998,130.009995,46348600,164.710007,168.710007,8487600,185.800003,190.369995,7582500,414016900
2022-07-28,156.979996,157.350006,81378700,269.75,276.410004,33459300,98.459999,101.480003,28988700,121.57,122.279999,82245500,125.080002,125.989998,51745700,291.179993,293.899994,3986900,205.820007,211.25,100446800,127.25,129.720001,63563400,169.809998,170.979996,6855500,191.410004,190.71,7299200,459969700
2022-07-29,161.240005,162.509995,101786900,277.700012,280.73999,32152800,102.089996,102.970001,24680800,134.899994,134.949997,148892900,126.940002,132.610001,50548200,297.420013,300.600006,6976200,210.100006,222.419998,96507900,130.880005,137.509995,38433200,170.169998,170.710007,5661900,190.869995,194.38,11907200,517548000
2022-08-01,161.009995,161.509995,67829400,277.820007,278.01001,21539600,103.300003,104.93,29910200,134.960007,135.389999,76846900,128.690002,128.960007,53295300,299.700012,295.859985,4192700,219.399994,224.639999,85012500,131.679993,129.820007,82791500,171.320007,172.210007,6123800,196.580002,203.330002,15450000,442991900
2022-08-02,160.100006,160.009995,59907000,276,274.820007,22754200,96.760002,94.82,71504300,134.720001,134.160004,61922400,136.300003,131.759995,58311300,294.869995,292.170013,3166500,229.770004,225.089996,61638800,97.980003,97.940002,232316600,172.350006,172.309998,5390900,203.32,204.28,7946700,584858700
2022-08-03,160.839996,166.130005,82507500,276.76001,282.470001,23518900,94.309998,92.599998,54036500,136.210007,139.520004,71827800,131.039993,138.339996,52104000,295.049988,294.959991,4061400,225.399994,228.520004,69152400,99.580002,99.199997,95928300,173,174.869995,6073900,205,209.339996,8455600,467666300
2022-08-04,166.009995,165.809998,55474100,281.799988,283.649994,18098700,92.529999,96.580002,35696900,140.580002,142.570007,70585000,137.779999,134.970001,48634100,294.730011,292.910004,3946200,226.190002,227.539993,61554300,98.220001,93.160004,121361400,174.520004,173.970001,7810000,208.919998,207.160004,8674100,431834800
2022-08-05,163.210007,165.350006,56697000,279.149994,282.910004,16774600,95.779999,94.660004,29868700,140.100006,140.800003,50686900,138.110001,135.429993,43281700,291.869995,292.070007,3395400,234.050003,227.820007,62688800,94.330002,95.199997,110189600,174.059998,173.089996,6985000,208.910004,206.92,5919500,386487200
2022-08-08,166.369995,164.869995,60276900,284.049988,280.320007,18739200,95.589996,90.5,43220600,142.050003,139.410004,52229000,138.5,132.190002,67262800,294.869995,292.339996,3965600,226.039993,214.979996,63070300,94.209999,90.540001,71821100,172.889999,170.429993,6877300,205.759995,200.949997,6985600,394448400
2022-08-09,164.020004,164.919998,63135500,279.640015,282.299988,23405200,90.910004,87.07,43553600,138.050003,137.830002,40434700,130.429993,134.210007,50006500,293.350006,292.769989,3872100,211.360001,215.309998,56538800,90.080002,88.910004,60664000,169.809998,170.720001,4819900,198.279999,194.75,8236200,354666500
2022-08-10,167.679993,169.240005,70170500,288.170013,289.160004,24687800,86.345001,83.489998,48510400,142.899994,142.690002,54773800,139.860001,141.559998,61257600,296.480011,295.109985,3705700,222.600006,207.470001,98622200,90.349998,90.790001,55638100,171.559998,171.479996,5300900,197,196.979996,9680100,432347100
2022-08-11,170.059998,168.490005,57149200,290.850006,287.019989,20065900,85.510002,86.699997,40173300,143.860001,140.639999,44867300,142.279999,143.009995,41006100,298,296.470001,3144800,208.649994,197.080002,93916500,94.779999,96.720001,81987300,171.669998,172.979996,6621000,198.32,200.1,7821300,396752700
2022-08-12,169.820007,172.100006,68039400,288.480011,291.910004,22619700,87.339996,88.650002,26899900,142.050003,143.550003,47643500,148.009995,146.020004,59529200,297.899994,301.549988,3231300,194.020004,191.300003,128803400,95.919998,96.470001,52088300,173.130005,173.839996,5148400,201.660004,201.779999,6943700,420946800
2022-08-15,171.520004,173.190002,54091700,291,293.470001,18085700,89.160004,88.910004,30172000,142.800003,143.179993,39014600,141.619995,137.759995,45441400,298.640015,302.820007,2927200,190.779999,177.589996,127062700,101.720001,101.470001,107677300,174.270004,172.449997,6150000,200.699997,193.92,7320200,437942800
2022-08-16,172.779999,173.029999,56377100,291.98999,292.709991,18102900,88.544998,87.400002,26743900,143.910004,144.779999,59102900,148,157.5,70081900,304.98999,306.649994,3342600,189.899994,190.720001,132703000,107.120003,111.870003,80671000,174.350006,174.470001,7877500,203.089996,205.57,8048900,463051700
2022-08-17,172.770004,174.550003,79542000,289.73999,291.320007,18253400,92.339996,94.169998,42371200,142.690002,142.100006,48149800,158.070007,163.270004,65548700,305.220001,304.26001,2962600,186,195.970001,114403600,109.230003,113.019997,59961700,172.729996,169.25,11074700,206,205,9601000,451868700
